2015-01-16T11:24:09.123+0800: 76403.839: [GC [PSYoungGen: 562648K->96490K(576512K)] 2548838K->2083370K(3990016K), 0.0643600 secs] [Times: user=0.56 sys=0.00, real=0.06 secs] 
2015-01-16T11:26:51.261+0800: 76565.977: [GC [PSYoungGen: 567018K->92865K(578048K)] 2553898K->2085943K(3991552K), 0.0586290 secs] [Times: user=0.42 sys=0.00, real=0.05 secs] 
2015-01-16T11:29:43.218+0800: 76737.934: [GC [PSYoungGen: 565441K->91366K(577536K)] 2558519K->2085308K(3991040K), 0.0638110 secs] [Times: user=0.47 sys=0.04, real=0.07 secs] 
2015-01-16T11:31:55.372+0800: 76870.088: [GC [PSYoungGen: 563942K->97575K(578560K)] 2557884K->2092155K(3992064K), 0.0766690 secs] [Times: user=0.68 sys=0.12, real=0.08 secs] 
2015-01-16T11:34:51.128+0800: 77045.843: [GC [PSYoungGen: 571687K->96720K(578560K)] 2566267K->2091973K(3992064K), 0.1151450 secs] [Times: user=1.26 sys=0.15, real=0.12 secs] 
2015-01-16T11:37:40.292+0800: 77215.007: [GC [PSYoungGen: 570832K->92491K(579072K)] 2566085K->2088414K(3992576K), 0.0671280 secs] [Times: user=0.56 sys=0.00, real=0.06 secs] 
2015-01-16T11:39:46.097+0800: 77340.813: [GC [PSYoungGen: 567115K->98466K(578560K)] 2563038K->2095393K(3992064K), 0.0755260 secs] [Times: user=0.57 sys=0.01, real=0.08 secs] 
2015-01-16T11:42:45.267+0800: 77519.983: [GC [PSYoungGen: 573090K->92308K(579072K)] 2570017K->2089793K(3992576K), 0.0743690 secs] [Times: user=0.49 sys=0.08, real=0.08 secs] 
2015-01-16T11:45:12.742+0800: 77667.457: [GC [PSYoungGen: 566932K->103914K(578560K)] 2564417K->2103627K(3992064K), 0.0870030 secs] [Times: user=0.84 sys=0.02, real=0.08 secs] 
2015-01-16T11:48:26.525+0800: 77861.241: [GC [PSYoungGen: 578538K->91660K(573440K)] 2578251K->2092345K(3986944K), 0.0722070 secs] [Times: user=0.55 sys=0.02, real=0.07 secs] 
